Coluna_1;Coluna_2;Coluna_3;Coluna_4;Coluna_5;Coluna_6;Coluna_7;Coluna_8;Coluna_9;Coluna_10;Coluna_11;Coluna_12;Coluna_13;VALOR CERTO;VALOR_CALCULADO;VALOR_ORIGINAL;STATUS
Frete;55269/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIO VILA ALPINA LTDA;São Paulo;5;114;114;4396;51;;86;86;86;OK
Frete;55311/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ROMA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA 105544;São Paulo;32;794;794;18789;361;;604;604;604;OK
Frete;55156/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CASA DE CARNES BOI MAVINI LTDA;São Paulo;5;138;138;3273;62;;105;105;105;OK
Frete;55159/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;TRADICAO GAUCHA LTDA;São Paulo;12;296;296;11456;134;;225;225;225;OK
Frete;55346/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIUM LEAO SANTA RITA LTDA;Aparecida;6;135;135;3712;61;;103;103;103;OK
Frete;55352/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIUM LEAO PONTE ALTA LTDA 319249;Aparecida;3;79;79;2228;36;;60;60;60;OK
Frete;55349/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PICANHA NOBRE CASA DE CARNES E MINIMERCADO LTDA 243786;Guarulhos;3;45;45;2353;20;;34;34;34;OK
Frete;55369/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO X LTDA;Guarulhos;35;937;937;36095;426;;713;713;713;OK
Frete;55375/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MOTA SUPERMERCADO LTDA;Guarulhos;19;469;469;14741;213;;357;357;357;OK
Frete;55321/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARISOL ESPINDOLA FAVALLI 267487;Canas;1;27;27;1128;12;;20;20;20;OK
Frete;55324/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JAQUELINE CARDOSO LOPES ME;Lorena;4;101;101;1913;46;;77;77;77;OK
Frete;55337/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PAULO ORILIO DA SILVA 238059;Campinas;2;42;42;1293;19;;32;32;32;OK
Frete;55366/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;P M V Alimentos Ltda;Campinas;3;70;70;2050;32;;53;53;53;OK
Frete;55378/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOARES MARTINS LTDA 126891;Louveira;5;132;132;3359;60;;100;100;100;OK
Frete;55261/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;LPJ COMERCIO DE ALIMENTOS - EIRELI;Campinas;1;27;27;801;12;;21;21;21;OK
Frete;55287/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHURRASCARIA AVENIDA GENERAL CARNEIRO LTDA;Campinas;2;50;50;2443;23;;38;38;38;OK
Frete;55345/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIUM LEAO CARAMURUS LTDA 319247;Guaratinguetá;5;128;128;3550;58;;97;97;97;OK
Frete;55356/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;REGIANE CRISTINA VIEIRA LOPES 33691925863;Guaratinguetá;2;49;49;1744;22;;37;37;37;OK
Frete;55327/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PANIFICADORA E CONFEITARIA IRMAOS HILARIO LTDA ME;São José dos Campos;4;91;91;2574;41;;69;69;69;OK
Frete;55353/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;VANILDA SOARES SAMPAIO 10365859800 446611;São José dos Campos;1;23;23;1001;10;;17;17;17;OK
Frete;55351/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SEGRETINI BAR E LANCHONETE LTDA 485692;São José dos Campos;5;142;142;6875;64;;108;108;108;OK
Frete;55340/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;A M DA SILVA PRODUTOS ALIMENTICIOS EIRELI ME 171184;São José dos Campos;2;53;53;1191;24;;40;40;40;OK
Frete;55338/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;M. P. MEDEIROS ACOUGUE LTDA ME;São José dos Campos;3;82;82;2938;37;;62;62;62;OK
Frete;55320/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ANDREIA PEREIRA ACOUGUE 133784;São José dos Campos;2;57;57;2343;25;;43;43;43;OK
Frete;55326/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;APARECIDO DONIZETI VIO 383955;São José dos Campos;1;20;20;616;9;;15;15;15;OK
Frete;55347/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;VAREJAO DE CARNES MONFAR LTDA;São José dos Campos;6;132;132;3697;60;;100;100;100;OK
Frete;55348/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;J CESAR DE FARIA;São José dos Campos;3;72;72;1652;32;;55;55;55;OK
Frete;55374/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;BALEEIRO BALEEIRO DE ITATIBA LTDA 201441;Itatiba;6;161;161;3370;73;;123;123;123;OK
Frete;55177/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOBRAL II COMERCIO DE ALIMENTOS LTDA;Várzea Paulista;2;47;47;1736;21;;36;36;36;OK
Frete;55104/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;M.A. & MARTINS RESTAURANTE O BOM DO CHURRASCO LTDA;Campo Limpo Paulista;2;48;48;1088;21;;36;36;36;OK
Frete;55363/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHEFS PUB BAR E RESTAURANTE LTDA 487520;Ferraz de Vasconcelos;8;122;122;6941;55;;93;93;93;OK
Frete;55325/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;A JOAQUIM COSTA CIA RESTAURANTE LTDA 383993;Taubaté;2;29;29;1681;13;;22;22;22;OK
Frete;55341/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;A JOAQUIM COSTA CIA RESTAURANTE LTDA 383993;Taubaté;1;25;25;730;11;;19;19;19;OK
Frete;55342/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;IRMAOS BOROTO LTDA 130336;Taubaté;2;50;50;1302;23;;38;38;38;OK
Frete;55343/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;FERREIRA E SANTOS MERCEARIA LTDA;Taubaté;3;75;75;2785;34;;57;57;57;OK
Frete;55350/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO ALCINDA LTDA 175356;Taubaté;30;772;772;13586;351;;588;588;588;OK
Frete;55368/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO ALCINDA LTDA;Taubaté;5;127;127;3997;58;;97;97;97;OK
Frete;55328/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;COMERCIAL MIX ESTACAO LTDA 472546;Itaquaquecetuba;12;315;315;11031;143;;240;240;240;OK
Frete;55344/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;BARRIGUCHO SALGADOS LTDA 221516;Poá;5;106;106;3450;48;;81;81;81;OK
Frete;55403/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ANTONIO JOAQUIM COSTA 64980;Taubaté;1;26;26;1292;12;;20;20;20;OK
Frete;55411/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMECADO SUPER POUPE;Taubaté;7;179;179;3971;81;;136;136;136;OK
Frete;55420/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;GIULIANO C A BERTINI RESTAURANTE;Caçapava;1;24;24;841;11;;18;18;18;OK
Frete;55412/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;E PONCIANO DE SOUZA 233305;Taubaté;6;149;149;4272;67;;113;113;113;OK
Frete;55407/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PAULO ORILIO DA SILVA 238059;Campinas;1;28;28;867;12;;21;21;21;OK
Frete;55196/;01/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;TENDAL COMERCIAL DE ALIMENTOS LTDA EPP;São Sebastião;4;106;106;3817;48;;80;80;80;OK
Frete;55354/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;UBA SUPERMERCADO LTDA 459619;Ubatuba;12;314;314;10892;142;;239;239;239;OK
Frete;55404/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARISOL ESPINDOLA FAVALLI 267487;Canas;1;27;27;1117;12;;20;20;20;OK
Frete;55405/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;J C CARVALHO MINIMERCADO LTDA;Lorena;2;54;54;1670;24;;41;41;41;OK
Frete;55372/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;RENOME REFEICOES COLETIVAS LTDA;São Paulo;43;1028;1028;24496;467;;782;782;782;OK
Frete;55422/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;DONA PRECIOSA RESTAURANTE LTDA;São Paulo;1;28;28;1490;12;;21;21;21;OK
Frete;55423/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARIANA S GRILL LTDA;São Paulo;2;46;46;836;21;;35;35;35;OK
Frete;55424/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;COMERCIO DE ALIMENTOS SENADOR LTDA;São Paulo;5;134;134;3595;61;;102;102;102;OK
Frete;55426/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;DISTRIBUIDORA DE HORTIFRUTIGRANJEIROS GATAO LTDA.;São Paulo;27;707;707;27271;321;;538;538;538;OK
Frete;55355/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CASA DE CARNES NOVILHA DE BRONZE LTDA;São Paulo;3;79;79;3284;36;;60;60;60;OK
Frete;55409/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;POSTO 012 ESPORTE E BAR LTDA;São José dos Campos;2;52;52;2519;23;;39;39;39;OK
Frete;55402/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;ANDREIA PEREIRA ACOUGUE 133784;São José dos Campos;2;53;53;2203;24;;41;41;41;OK
Frete;55408/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;E M RIBEIRO RESTAURANTE LTDA 229544;São José dos Campos;2;46;46;1286;21;;35;35;35;OK
Frete;55410/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADINHO JOSE CARLOS MANOEL LTDA 79624;São José dos Campos;3;77;77;1916;35;;58;58;58;OK
Frete;55418/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;DANIEL CASTRO ACOUGUE E MERCEARIA LTDA 266847;São José dos Campos;1;13;13;869;6;;10;10;10;OK
Frete;55419/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JOANILSON ARAUJO DA FONSECA 390008;Hortolândia;20;526;526;20298;239;;400;400;400;OK
Frete;55323/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;E S DO NASCIMENTO ACOUGUE 317781;Hortolândia;6;144;144;3963;65;;110;110;110;OK
Frete;55367/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;E S DO NASCIMENTO ACOUGUE 317781;Hortolândia;2;47;47;1376;21;;36;36;36;OK
Frete;55339/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PEMAR ALIMENTOS LTDA;Ribeirão Preto;28;792;792;25780;360;;603;603;603;OK
Frete;55371/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;INTEGRADO DISTRIBUIDOR FRIGORIFICO LTDA EPP;Ribeirão Preto;70;1665;1665;39343;757;;1268;1268;1268;OK
Frete;55284/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARCIA APARECIDA FERREIRA DIVERNO;Batatais;6;136;136;3961;62;;104;104;104;OK
Frete;55109/;29/08/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MJS CASA DE CARNES LTDA;Ribeirão Preto;2;48;48;1137;21;;36;36;36;OK
Frete;55406/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PUMBA FOODS LTDA;São Carlos;17;434;434;10750;197;;330;330;330;OK
Frete;55427/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CCS BAR E RESTAURANTE LTDA;São Paulo;1;29;29;923;13;;22;22;22;OK
Frete;55428/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;FMV BAR E PRATOS RAPIDOS LTDA;São Paulo;3;77;77;2077;35;;58;58;58;OK
Frete;55416/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;3 A Foods Comercio De Alimentos Ltda;São Paulo;2;27;27;1579;12;;21;21;21;OK
Frete;55330/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;DKJ ALIMENTOS LTDA;São Paulo;1;25;25;823;11;;19;19;19;OK
Frete;55365/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;3 A Foods Comercio De Alimentos Ltda;São Paulo;5;128;128;6175;58;;97;97;97;OK
Frete;55417/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;NOVA UNIAO COMERCIO DE ALIMENTOS LTDA;São Paulo;2;51;51;1210;23;;39;39;39;OK
Frete;55425/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;COMERCIO DE ALIMENTOS SANTO AMARO LTDA;São Paulo;7;179;179;3532;81;;136;136;136;OK
Frete;55335/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;NOVA UNIAO COMERCIO DE ALIMENTOS LTDA;São Paulo;7;167;167;3939;76;;127;127;127;OK
Frete;55258/;02/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;NOVA UNIAO COMERCIO DE ALIMENTOS LTDA;São Paulo;2;53;53;1190;24;;40;40;40;OK
Frete;55429/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARQUES HAMBURGUER LTDA;São Paulo;4;113;113;6027;51;;86;86;86;OK
Frete;55318/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIO DA VILLA INDUSTRIA E COMERCIO DE CARNES E;São Paulo;5;62;62;4068;28;;47;47;47;OK
Frete;55319/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;EMPORIO DA VILLA INDUSTRIA E COMERCIO DE CARNES E;São Paulo;10;137;137;8919;62;;104;104;104;OK
Frete;55376/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MARQUES HAMBURGUER LTDA;São Paulo;2;31;31;1645;14;;23;23;23;OK
Frete;55413/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHICO PIZZARIA R. E . F LTDA;São Paulo;9;262;262;13928;119;;199;199;199;OK
Frete;55430/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CASA DE CARNES BOI MAVINI LTDA;São Paulo;11;296;296;8399;134;;226;226;226;OK
Frete;55421/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CARLOS ALEXANDRE DA SILVA ROSA;São Paulo;4;103;103;3180;47;;79;79;79;OK
Frete;55362/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;SUPERMERCADO AMERICA LTDA;São Paulo;5;139;139;6713;63;;106;106;106;OK
Frete;55377/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;209 - SUPERMERCADO X LTDA;São Paulo;35;852;852;32920;387;;648;648;648;OK
Frete;55373/;03/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;CHURRASCARIA PAGLIARI LTDA;São Paulo;8;201;201;5159;91;;153;153;153;OK
Frete;55414/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOBRAL II COMERCIO DE ALIMENTOS LTDA;Várzea Paulista;6;155;155;4860;70;;118;118;118;OK
Frete;55415/;04/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADO SOBRAL I COMERCIO DE ALIMENTOS LTDA;Várzea Paulista;5;117;117;3609;53;;89;89;89;OK
Frete;55559/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;IRMAS FERREIRA RESTAURANTE LTDA ME;Cachoeira Paulista;2;50;50;1211;23;;38;38;38;OK
Frete;55580/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;PRATICO 4 SUPERMERCADO LTDA 487746;Praia Grande;5;135;135;4709;61;;103;103;103;OK
Frete;55562/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;APARECIDO DONIZETI VIO 383955;São José dos Campos;1;25;25;660;11;;19;19;19;OK
Frete;55578/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MERCADINHO JOSE CARLOS MANOEL LTDA 79624;São José dos Campos;1;26;26;883;11;;20;20;20;OK
Frete;55584/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;DANIEL CASTRO ACOUGUE E MERCEARIA LTDA 266847;São José dos Campos;1;26;26;947;11;;19;19;19;OK
Frete;55567/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;MICHELE RAMUNDO COM DE GEN ALIMENT LTDA;São Paulo;6;145;145;4154;66;;110;110;110;OK
Frete;55563/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;GILBERTO DE CARVALHO SALGADO 163798;Taubaté;1;27;27;1335;12;;21;21;21;OK
Frete;55575/;05/09/2025;FRIGORIFICO VALENCIO LTDA;São José dos Campos;JCCM MINIMERCADO LTDA;Caçapava;1;24;24;881;11;;18;18;18;OK
;;;;;;;;;;;1085238;;32356;32356;32356;OK
